truth threshold is 4
num_features	lambda	mse	top_n	true_pos	false_pos	true_neg	false_neg	precision	recall
105	0.17	1.49493775311	50	38	12	9685	10266	0.76	0.003687888198757764
105	0.17	1.49493775311	150	114	36	9661	10190	0.76	0.011063664596273292
105	0.17	1.49493775311	250	186	64	9633	10118	0.744	0.018051242236024844
105	0.17	1.49493775311	350	256	94	9603	10048	0.7314285714285714	0.024844720496894408
105	0.17	1.49493775311	450	333	117	9580	9971	0.74	0.03231754658385093
105	0.17	1.49493775311	550	399	151	9546	9905	0.7254545454545455	0.03872282608695652
105	0.17	1.49493775311	650	473	177	9520	9831	0.7276923076923076	0.045904503105590064
105	0.17	1.49493775311	750	548	202	9495	9756	0.7306666666666667	0.0531832298136646
105	0.17	1.49493775311	850	626	224	9473	9678	0.7364705882352941	0.06075310559006211
105	0.17	1.49493775311	950	701	249	9448	9603	0.7378947368421053	0.06803183229813664
105	0.17	1.49493775311	1050	776	274	9423	9528	0.7390476190476191	0.07531055900621118
105	0.17	1.49493775311	1150	845	305	9392	9459	0.7347826086956522	0.08200698757763975
105	0.17	1.49493775311	1250	928	322	9375	9376	0.7424	0.09006211180124224
105	0.17	1.49493775311	1350	1002	348	9349	9302	0.7422222222222222	0.09724378881987578
105	0.17	1.49493775311	1450	1075	375	9322	9229	0.7413793103448276	0.10432841614906832
105	0.17	1.49493775311	1550	1147	403	9294	9157	0.74	0.11131599378881987
105	0.17	1.49493775311	1650	1217	433	9264	9087	0.7375757575757576	0.11810947204968944
105	0.17	1.49493775311	1750	1289	461	9236	9015	0.7365714285714285	0.125097049689441
105	0.17	1.49493775311	1850	1351	499	9198	8953	0.7302702702702702	0.13111413043478262
105	0.17	1.49493775311	1950	1411	539	9158	8893	0.7235897435897436	0.13693711180124224
105	0.17	1.49493775311	2050	1476	574	9123	8828	0.72	0.14324534161490685
105	0.17	1.49493775311	2150	1543	607	9090	8761	0.7176744186046512	0.1497476708074534
105	0.17	1.49493775311	2250	1616	634	9063	8688	0.7182222222222222	0.15683229813664595
105	0.17	1.49493775311	2350	1682	668	9029	8622	0.7157446808510638	0.16323757763975155
105	0.17	1.49493775311	2450	1751	699	8998	8553	0.7146938775510204	0.16993400621118013
105	0.17	1.49493775311	2550	1822	728	8969	8482	0.7145098039215686	0.1768245341614907
105	0.17	1.49493775311	2650	1885	765	8932	8419	0.7113207547169811	0.18293866459627328
105	0.17	1.49493775311	2750	1950	800	8897	8354	0.7090909090909091	0.1892468944099379
105	0.17	1.49493775311	2850	2020	830	8867	8284	0.7087719298245614	0.19604037267080746
105	0.17	1.49493775311	2950	2087	863	8834	8217	0.707457627118644	0.20254270186335405
105	0.17	1.49493775311	3050	2153	897	8800	8151	0.7059016393442623	0.20894798136645962
105	0.17	1.49493775311	3150	2223	927	8770	8081	0.7057142857142857	0.21574145962732919
105	0.17	1.49493775311	3250	2299	951	8746	8005	0.7073846153846154	0.22311723602484473
105	0.17	1.49493775311	3350	2359	991	8706	7945	0.7041791044776119	0.22894021739130435
105	0.17	1.49493775311	3450	2418	1032	8665	7886	0.7008695652173913	0.23466614906832298
105	0.17	1.49493775311	3550	2481	1069	8628	7823	0.6988732394366197	0.2407802795031056
105	0.17	1.49493775311	3650	2539	1111	8586	7765	0.6956164383561644	0.24640916149068323
105	0.17	1.49493775311	3750	2594	1156	8541	7710	0.6917333333333333	0.2517468944099379
105	0.17	1.49493775311	3850	2659	1191	8506	7645	0.6906493506493506	0.2580551242236025
105	0.17	1.49493775311	3950	2724	1226	8471	7580	0.689620253164557	0.2643633540372671
105	0.17	1.49493775311	4050	2790	1260	8437	7514	0.6888888888888889	0.27076863354037267
105	0.17	1.49493775311	4150	2845	1305	8392	7459	0.6855421686746987	0.27610636645962733
105	0.17	1.49493775311	4250	2905	1345	8352	7399	0.6835294117647058	0.281929347826087
105	0.17	1.49493775311	4350	2972	1378	8319	7332	0.6832183908045977	0.28843167701863354
105	0.17	1.49493775311	4450	3039	1411	8286	7265	0.6829213483146067	0.2949340062111801
105	0.17	1.49493775311	4550	3107	1443	8254	7197	0.6828571428571428	0.3015333850931677
105	0.17	1.49493775311	4650	3167	1483	8214	7137	0.6810752688172043	0.30735636645962733
