num_features	lambda	mse	mae
10	1.3	1.66691665417	0.922753862307
30	1.3	1.89285535723	1.01249937503
50	1.3	1.73947552622	0.977726113694
70	1.3	1.66906654667	0.951052447378
80	1.3	1.42602869857	0.889505524724
90	1.3	1.30258487076	0.859557022149
95	1.3	1.02798610069	0.773336333183
100	1.3	1.0293360332	0.7801859907
103	1.3	1.14655517224	0.813134343283
105	1.3	1.0013499325	0.765961701915
110	1.3	1.22876356182	0.837458127094
120	1.3	1.08613319334	0.789335533223
130	1.3	0.943602819859	0.741712914354
140	1.3	0.972738863057	0.755037248138
150	1.3	1.09808259587	0.79618519074
160	1.3	1.03132343383	0.767261636918
220	1.3	1.50361231938	0.942827858607
180	1.3	1.09432028399	0.795460226989
200	1.3	1.21701414929	0.837608119594

105	0.1	1.5114119294	0.945527723614
105	0.2	1.4600019999	0.923003849808
105	0.3	1.46133943303	0.924628768562
105	0.5	1.40345482726	0.904404779761
105	0.7	1.19039048048	0.824908754562
105	0.9	1.11146942653	0.801859907005
105	1.1	1.00653717314	0.761736913154
105	1.2	1.06609669517	0.78396080196
105	1.3	0.982800859957	0.762061896905
105	1.4	0.981925903705	0.758262086896
105	1.5	1.38346832658	0.872981350932
105	1.6	1.23090095495	0.834233288336
105	2	1.59157042148	0.911454427279
105	2.4	1.54823508825	0.902629868507
105	3	1.56724663767	0.901554922254
105	6	1.52661116944	0.88413079346
105	10	1.58499575021	0.904654767262
