truth threshold is 4.5
num_features	lambda	mse	top_n	true_pos	false_pos	true_neg	false_neg	precision	recall
105	0.17	1.51296185191	50	26	24	15457	4494	0.52	0.005752212389380531
105	0.17	1.51296185191	150	70	80	15401	4450	0.4666666666666667	0.015486725663716814
105	0.17	1.51296185191	250	107	143	15338	4413	0.428	0.023672566371681417
105	0.17	1.51296185191	350	151	199	15282	4369	0.43142857142857144	0.0334070796460177
105	0.17	1.51296185191	450	188	262	15219	4332	0.4177777777777778	0.0415929203539823
105	0.17	1.51296185191	550	233	317	15164	4287	0.42363636363636364	0.05154867256637168
105	0.17	1.51296185191	650	275	375	15106	4245	0.4230769230769231	0.06084070796460177
105	0.17	1.51296185191	750	325	425	15056	4195	0.43333333333333335	0.07190265486725664
105	0.17	1.51296185191	850	365	485	14996	4155	0.4294117647058823	0.08075221238938053
105	0.17	1.51296185191	950	403	547	14934	4117	0.4242105263157895	0.08915929203539823
105	0.17	1.51296185191	1050	448	602	14879	4072	0.4266666666666667	0.09911504424778761
105	0.17	1.51296185191	1150	488	662	14819	4032	0.42434782608695654	0.1079646017699115
105	0.17	1.51296185191	1250	534	716	14765	3986	0.4272	0.11814159292035398
105	0.17	1.51296185191	1350	574	776	14705	3946	0.42518518518518517	0.12699115044247788
105	0.17	1.51296185191	1450	609	841	14640	3911	0.42	0.13473451327433628
105	0.17	1.51296185191	1550	643	907	14574	3877	0.41483870967741937	0.1422566371681416
105	0.17	1.51296185191	1650	681	969	14512	3839	0.4127272727272727	0.1506637168141593
105	0.17	1.51296185191	1750	713	1037	14444	3807	0.4074285714285714	0.1577433628318584
105	0.17	1.51296185191	1850	747	1103	14378	3773	0.40378378378378377	0.1652654867256637
105	0.17	1.51296185191	1950	788	1162	14319	3732	0.4041025641025641	0.1743362831858407
105	0.17	1.51296185191	2050	821	1229	14252	3699	0.4004878048780488	0.18163716814159292
105	0.17	1.51296185191	2150	858	1292	14189	3662	0.39906976744186046	0.18982300884955752
105	0.17	1.51296185191	2250	894	1356	14125	3626	0.3973333333333333	0.19778761061946903
105	0.17	1.51296185191	2350	924	1426	14055	3596	0.3931914893617021	0.20442477876106194
105	0.17	1.51296185191	2450	965	1485	13996	3555	0.39387755102040817	0.21349557522123894
105	0.17	1.51296185191	2550	1005	1545	13936	3515	0.3941176470588235	0.22234513274336284
105	0.17	1.51296185191	2650	1043	1607	13874	3477	0.39358490566037735	0.23075221238938054
105	0.17	1.51296185191	2750	1080	1670	13811	3440	0.3927272727272727	0.23893805309734514
105	0.17	1.51296185191	2850	1110	1740	13741	3410	0.3894736842105263	0.24557522123893805
105	0.17	1.51296185191	2950	1140	1810	13671	3380	0.3864406779661017	0.252212389380531
105	0.17	1.51296185191	3050	1167	1883	13598	3353	0.3826229508196721	0.2581858407079646
105	0.17	1.51296185191	3150	1201	1949	13532	3319	0.38126984126984126	0.26570796460176993
105	0.17	1.51296185191	3250	1242	2008	13473	3278	0.3821538461538462	0.27477876106194693
105	0.17	1.51296185191	3350	1281	2069	13412	3239	0.38238805970149253	0.2834070796460177
105	0.17	1.51296185191	3450	1309	2141	13340	3211	0.3794202898550725	0.28960176991150444
105	0.17	1.51296185191	3550	1338	2212	13269	3182	0.37690140845070425	0.2960176991150443
105	0.17	1.51296185191	3650	1367	2283	13198	3153	0.3745205479452055	0.30243362831858406
105	0.17	1.51296185191	3750	1404	2346	13135	3116	0.3744	0.3106194690265487
105	0.17	1.51296185191	3850	1439	2411	13070	3081	0.37376623376623375	0.3183628318584071
105	0.17	1.51296185191	3950	1460	2490	12991	3060	0.369620253164557	0.3230088495575221
105	0.17	1.51296185191	4050	1488	2562	12919	3032	0.3674074074074074	0.3292035398230089
105	0.17	1.51296185191	4150	1522	2628	12853	2998	0.3667469879518072	0.33672566371681417
105	0.17	1.51296185191	4250	1556	2694	12787	2964	0.36611764705882355	0.34424778761061947
105	0.17	1.51296185191	4350	1579	2771	12710	2941	0.36298850574712643	0.3493362831858407
105	0.17	1.51296185191	4450	1613	2837	12644	2907	0.3624719101123596	0.356858407079646
105	0.17	1.51296185191	4550	1645	2905	12576	2875	0.36153846153846153	0.3639380530973451
105	0.17	1.51296185191	4650	1678	2972	12509	2842	0.3608602150537634	0.3712389380530973
105	0.17	1.51296185191	4750	1707	3043	12438	2813	0.35936842105263156	0.37765486725663716
105	0.17	1.51296185191	4850	1737	3113	12368	2783	0.3581443298969072	0.3842920353982301
105	0.17	1.51296185191	4950	1766	3184	12297	2754	0.3567676767676768	0.39070796460176993
105	0.17	1.51296185191	5050	1796	3254	12227	2724	0.3556435643564356	0.3973451327433628
105	0.17	1.51296185191	5150	1823	3327	12154	2697	0.35398058252427184	0.40331858407079646
105	0.17	1.51296185191	5250	1854	3396	12085	2666	0.35314285714285715	0.4101769911504425
105	0.17	1.51296185191	5350	1889	3461	12020	2631	0.3530841121495327	0.4179203539823009
105	0.17	1.51296185191	5450	1919	3531	11950	2601	0.35211009174311925	0.4245575221238938
105	0.17	1.51296185191	5550	1951	3599	11882	2569	0.35153153153153155	0.4316371681415929
105	0.17	1.51296185191	5650	1980	3670	11811	2540	0.3504424778761062	0.43805309734513276
105	0.17	1.51296185191	5750	2003	3747	11734	2517	0.3483478260869565	0.443141592920354
105	0.17	1.51296185191	5850	2028	3822	11659	2492	0.3466666666666667	0.4486725663716814
105	0.17	1.51296185191	5950	2049	3901	11580	2471	0.34436974789915964	0.45331858407079645
105	0.17	1.51296185191	6050	2088	3962	11519	2432	0.34512396694214875	0.46194690265486726
105	0.17	1.51296185191	6150	2118	4032	11449	2402	0.344390243902439	0.4685840707964602
105	0.17	1.51296185191	6250	2143	4107	11374	2377	0.34288	0.4741150442477876
105	0.17	1.51296185191	6350	2169	4181	11300	2351	0.3415748031496063	0.4798672566371681
105	0.17	1.51296185191	6450	2196	4254	11227	2324	0.3404651162790698	0.48584070796460177
105	0.17	1.51296185191	6550	2218	4332	11149	2302	0.3386259541984733	0.4907079646017699
105	0.17	1.51296185191	6650	2242	4408	11073	2278	0.33714285714285713	0.49601769911504423
105	0.17	1.51296185191	6750	2267	4483	10998	2253	0.33585185185185185	0.5015486725663717
105	0.17	1.51296185191	6850	2296	4554	10927	2224	0.3351824817518248	0.5079646017699115
105	0.17	1.51296185191	6950	2317	4633	10848	2203	0.3333812949640288	0.5126106194690265
105	0.17	1.51296185191	7050	2351	4699	10782	2169	0.33347517730496457	0.5201327433628319
105	0.17	1.51296185191	7150	2379	4771	10710	2141	0.3327272727272727	0.5263274336283186
105	0.17	1.51296185191	7250	2408	4842	10639	2112	0.33213793103448275	0.5327433628318584
105	0.17	1.51296185191	7350	2429	4921	10560	2091	0.3304761904761905	0.5373893805309734
